experiment_id,timestamp,scheduler,node_type,workload_type,carbon_efficiency,energy_consumption,performance_score,cpu_utilization,memory_utilization,gpu_utilization,response_time,throughput,queue_time,completion_rate,resource_utilization
exp_0007,2025-10-25 16:56:33.148860,default,memory-optimized,interactive,0.6784210859802666,61.05395327752091,0.6274997102053955,23.090021674156056,35.10231750963773,0.0,82.48646051081792,704.7788276668266,9.224583195081049,0.9098730491398173,29.096169591896892
exp_0016,2025-10-27 18:56:33.149013,default,memory-optimized,batch,0.7018047052283181,75.69905413273733,0.5866740563039741,31.272720437548774,17.130743957220123,0.0,88.81962177591757,763.4242030883545,27.675451250577265,0.8972828160318748,24.201732197384448
exp_0020,2025-10-29 15:56:33.149082,default,gpu-enabled,batch,0.5511027305069036,84.673226604284,0.704619449994333,17.407238670593692,49.60858651642418,81.97773012515636,71.84919259453387,809.5249810644092,1.199388225062047,0.8985415495436797,33.507912593508934
exp_0023,2025-10-30 08:56:33.149133,default,memory-optimized,interactive,0.618845369707499,97.4483851982506,0.5374223415331095,17.15647438461486,82.22686035013174,0.0,98.24390998078262,747.4017251581442,31.21764809803372,0.8518442506204074,49.6916673673733
exp_0030,2025-10-25 21:56:33.149250,default,memory-optimized,ml-training,0.5949995570069908,77.57499028494247,0.5857553042563198,31.02835864779907,22.978390125835634,0.0,98.85472213830292,756.3182238062489,7.4067143296801685,0.851187160943571,27.003374386817352
exp_0031,2025-10-29 16:56:33.149267,default,general-purpose,web-service,0.6321991702733986,93.17304841224276,0.5905322468455354,78.27253744712905,66.81044996779814,0.0,100.30447696807147,770.7715928926658,8.710072355457939,0.8881717229643297,72.54149370746359
exp_0035,2025-10-27 08:56:33.149334,default,general-purpose,batch,0.7831008465403403,92.16919567007355,0.7052952877077181,27.269635970226307,20.456300535919862,0.0,76.90623811465946,817.8700458589122,2.3794246833222252,0.977059188303336,23.862968253073085
exp_0041,2025-10-25 05:56:33.149435,default,cpu-optimized,ml-training,0.5887767873598571,66.51852929737856,0.6101296836189194,20.696274183955953,51.288423755698375,0.0,102.43241395089942,859.9308446304528,5.359811728922235,0.8508364777016311,35.99234896982716
exp_0043,2025-10-27 02:56:33.149468,default,general-purpose,ml-training,0.5312189099877161,78.811538859366,0.6530468772941582,33.75121907019313,46.754346231805044,0.0,84.42100107241404,843.8523877961757,9.888860995180329,0.8646594308145417,40.25278265099909
exp_0046,2025-10-26 06:56:33.149519,default,gpu-enabled,batch,0.6675492743989223,118.15953778955829,0.7146211526018479,50.45959702831164,53.07904921911346,94.85152032687783,66.15273500563454,814.704207907678,7.1002616951462825,0.9143430931837033,51.76932312371255
exp_0052,2025-10-29 12:56:33.149620,default,cpu-optimized,interactive,0.6866543701402887,98.98258211855226,0.5750060350064357,25.285515725963997,57.9901068233711,0.0,102.30803266671322,812.3132303791408,15.927878937618473,0.8504596088403501,41.63781127466755
exp_0058,2025-10-28 17:56:33.149719,default,memory-optimized,interactive,0.5090532310281397,85.92968468412228,0.6453272489884359,56.293971462689875,41.847928206645186,0.0,91.13094083835686,831.0455451934811,6.6992729606184085,0.9140247693334943,49.07094983466753
exp_0059,2025-10-25 09:56:33.149736,default,general-purpose,web-service,0.5600981140934015,81.5243416148302,0.6400454709464234,63.499477286548746,60.449490765126754,0.0,70.31850517980861,750.2838198881153,31.91576937274258,0.9487368963244986,61.974484025837754
